Div,Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePoint,AwayPoint,HomeDiff,AwayDiff,HomeRank,AwayRank,HomeGF,HomeGA,AwayGF,AwayGA
SP1,12/09/2020,2020-2021,Eibar,Celta,0,0,D,0,0,D,8,6,1,3,17,13,3,3,4,4,1,0,0,0,0,0,2,1,0,0,0,0
SP1,12/09/2020,2020-2021,Granada,Ath Bilbao,2,0,H,0,0,D,4,9,2,2,8,10,1,2,3,4,0,0,0,0,0,0,4,3,0,0,0,0
SP1,12/09/2020,2020-2021,Cadiz,Osasuna,0,2,A,0,1,A,12,6,3,4,14,21,6,2,2,2,0,0,0,0,0,0,4,5,0,0,0,0
SP1,13/09/2020,2020-2021,Alaves,Betis,0,1,A,0,0,D,7,11,2,4,19,17,6,4,3,3,0,0,0,0,0,0,5,6,0,0,0,0
SP1,13/09/2020,2020-2021,Valladolid,Sociedad,1,1,D,1,0,H,8,8,3,2,15,17,5,3,4,1,0,0,0,0,0,0,7,6,0,0,0,0
SP1,13/09/2020,2020-2021,Villarreal,Huesca,1,1,D,0,1,A,15,10,4,3,10,22,6,6,1,1,0,0,0,0,0,0,9,8,0,0,0,0
SP1,13/09/2020,2020-2021,Valencia,Levante,4,2,H,2,2,D,14,19,8,8,9,14,3,4,1,3,0,0,0,0,0,0,11,10,0,0,0,0
SP1,19/09/2020,2020-2021,Villarreal,Eibar,2,1,H,0,0,D,14,12,8,4,5,12,4,3,1,1,0,0,1,1,0,0,8,10,1,1,0,0
SP1,19/09/2020,2020-2021,Getafe,Osasuna,1,0,H,0,0,D,7,10,1,3,19,13,4,1,4,2,0,0,0,3,0,2,11,4,0,0,2,0
SP1,19/09/2020,2020-2021,Celta,Valencia,2,1,H,1,0,H,23,9,6,3,12,13,6,6,3,1,0,0,1,3,0,2,10,2,0,0,4,2
SP1,20/09/2020,2020-2021,Huesca,Cadiz,0,2,A,0,1,A,4,6,0,4,18,23,2,1,3,3,0,0,1,0,0,-2,8,15,1,1,0,2
SP1,20/09/2020,2020-2021,Betis,Valladolid,2,0,H,2,0,H,16,9,6,2,18,10,5,3,3,0,0,0,3,1,1,0,6,10,1,0,1,1
SP1,20/09/2020,2020-2021,Granada,Alaves,2,1,H,1,1,D,10,5,3,3,9,12,4,4,0,3,0,0,3,0,2,-1,4,13,2,0,0,1
SP1,20/09/2020,2020-2021,Sociedad,Real Madrid,0,0,D,0,0,D,6,16,1,4,17,12,1,11,2,2,0,0,1,0,0,0,9,13,1,1,0,0
SP1,26/09/2020,2020-2021,Alaves,Getafe,0,0,D,0,0,D,9,11,0,4,13,13,1,5,2,2,0,0,0,3,-2,1,15,7,1,3,1,0
SP1,26/09/2020,2020-2021,Valencia,Huesca,1,1,D,1,0,H,5,17,2,4,14,20,4,4,0,1,0,0,3,1,1,-2,6,13,5,4,1,3
