Div,Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePoint,AwayPoint,HomeDiff,AwayDiff,HomeRank,AwayRank,HomeGF,HomeGA,AwayGF,AwayGA
E0,13/08/2021,2021-2022,Brentford,Arsenal,2.0,0.0,H,1.0,0.0,H,8.0,22.0,3.0,4.0,12.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,2,1,0,0,0,0
E0,14/08/2021,2021-2022,Man United,Leeds,5.0,1.0,H,1.0,0.0,H,16.0,10.0,8.0,3.0,11.0,9.0,5.0,4.0,1.0,2.0,0.0,0.0,0,0,0,0,3,2,0,0,0,0
E0,14/08/2021,2021-2022,Burnley,Brighton,1.0,2.0,A,1.0,0.0,H,14.0,14.0,3.0,8.0,10.0,7.0,7.0,6.0,2.0,1.0,0.0,0.0,0,0,0,0,4,3,0,0,0,0
E0,14/08/2021,2021-2022,Chelsea,Crystal Palace,3.0,0.0,H,2.0,0.0,H,13.0,4.0,6.0,1.0,15.0,11.0,5.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,4,5,0,0,0,0
E0,14/08/2021,2021-2022,Everton,Southampton,3.0,1.0,H,0.0,1.0,A,14.0,6.0,6.0,3.0,13.0,15.0,6.0,8.0,2.0,0.0,0.0,0.0,0,0,0,0,5,6,0,0,0,0
E0,14/08/2021,2021-2022,Leicester,Wolves,1.0,0.0,H,1.0,0.0,H,9.0,17.0,5.0,3.0,6.0,10.0,5.0,4.0,1.0,2.0,0.0,0.0,0,0,0,0,6,7,0,0,0,0
E0,14/08/2021,2021-2022,Watford,Aston Villa,3.0,2.0,H,2.0,0.0,H,13.0,11.0,7.0,2.0,18.0,13.0,2.0,4.0,3.0,1.0,0.0,0.0,0,0,0,0,8,7,0,0,0,0
E0,14/08/2021,2021-2022,Norwich,Liverpool,0.0,3.0,A,0.0,1.0,A,14.0,19.0,3.0,8.0,4.0,14.0,3.0,11.0,1.0,1.0,0.0,0.0,0,0,0,0,9,8,0,0,0,0
E0,15/08/2021,2021-2022,Newcastle,West Ham,2.0,4.0,A,2.0,1.0,H,17.0,8.0,3.0,9.0,4.0,3.0,7.0,6.0,1.0,0.0,0.0,0.0,0,0,0,0,9,10,0,0,0,0
E0,15/08/2021,2021-2022,Tottenham,Man City,1.0,0.0,H,0.0,0.0,D,13.0,18.0,3.0,4.0,11.0,8.0,3.0,11.0,2.0,1.0,0.0,0.0,0,0,0,0,11,10,0,0,0,0
E0,21/08/2021,2021-2022,Liverpool,Burnley,2.0,0.0,H,1.0,0.0,H,27.0,9.0,9.0,3.0,6.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,3,0,3,-1,3,12,3,0,1,2
E0,21/08/2021,2021-2022,Aston Villa,Newcastle,2.0,0.0,H,1.0,0.0,H,10.0,9.0,2.0,1.0,8.0,18.0,3.0,4.0,3.0,4.0,0.0,0.0,0,0,-1,-2,11,14,2,3,2,4
E0,21/08/2021,2021-2022,Crystal Palace,Brentford,0.0,0.0,D,0.0,0.0,D,7.0,14.0,2.0,3.0,12.0,9.0,3.0,5.0,3.0,1.0,0.0,0.0,0,3,-3,2,17,6,0,3,2,0
E0,21/08/2021,2021-2022,Leeds,Everton,2.0,2.0,D,1.0,1.0,D,17.0,17.0,4.0,8.0,6.0,13.0,8.0,5.0,2.0,4.0,0.0,0.0,0,3,-4,2,20,6,1,5,3,1
E0,21/08/2021,2021-2022,Man City,Norwich,5.0,0.0,H,2.0,0.0,H,16.0,1.0,4.0,0.0,13.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,0,0,-1,-3,14,19,0,1,0,3
E0,21/08/2021,2021-2022,Brighton,Watford,2.0,0.0,H,2.0,0.0,H,13.0,10.0,3.0,1.0,11.0,6.0,7.0,2.0,4.0,0.0,0.0,0.0,3,3,1,1,10,9,2,1,3,2
E0,22/08/2021,2021-2022,Southampton,Man United,1.0,1.0,D,1.0,0.0,H,8.0,15.0,3.0,4.0,12.0,10.0,7.0,7.0,2.0,3.0,0.0,0.0,0,3,-2,4,16,6,1,3,5,1
E0,22/08/2021,2021-2022,Wolves,Tottenham,0.0,1.0,A,0.0,1.0,A,25.0,8.0,6.0,6.0,9.0,7.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3,-1,1,16,11,0,1,1,0
E0,22/08/2021,2021-2022,Arsenal,Chelsea,0.0,2.0,A,0.0,2.0,A,6.0,22.0,3.0,5.0,10.0,4.0,9.0,8.0,3.0,0.0,0.0,0.0,0,3,-2,3,16,8,0,2,3,0
E0,23/08/2021,2021-2022,West Ham,Leicester,4.0,1.0,H,1.0,0.0,H,13.0,5.0,7.0,1.0,8.0,8.0,10.0,0.0,0.0,1.0,0.0,1.0,3,3,2,1,9,11,4,2,1,0
E0,28/08/2021,2021-2022,Man City,Arsenal,5.0,0.0,H,3.0,0.0,H,25.0,1.0,10.0,0.0,5.0,7.0,14.0,0.0,1.0,2.0,0.0,1.0,3,0,4,-4,9,19,5,1,0,4
