Div,Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePoint,AwayPoint,HomeDiff,AwayDiff,HomeRank,AwayRank,HomeGF,HomeGA,AwayGF,AwayGA
I1,17/08/2024,2024-2025,Genoa,Inter,2.0,2.0,D,1.0,1.0,D,10.0,14.0,6.0,9.0,15.0,14.0,1.0,4.0,1.0,2.0,0.0,0.0,0,0,0,0,1,2,0,0,0,0
I1,17/08/2024,2024-2025,Parma,Fiorentina,1.0,1.0,D,1.0,0.0,H,13.0,14.0,5.0,7.0,15.0,9.0,4.0,9.0,3.0,2.0,0.0,1.0,0,0,0,0,4,3,0,0,0,0
I1,17/08/2024,2024-2025,Empoli,Monza,0.0,0.0,D,0.0,0.0,D,9.0,4.0,1.0,1.0,16.0,19.0,7.0,3.0,0.0,2.0,0.0,0.0,0,0,0,0,5,6,0,0,0,0
I1,17/08/2024,2024-2025,Milan,Torino,2.0,2.0,D,0.0,1.0,A,20.0,6.0,6.0,3.0,10.0,7.0,9.0,2.0,2.0,4.0,0.0,0.0,0,0,0,0,7,8,0,0,0,0
I1,18/08/2024,2024-2025,Bologna,Udinese,1.0,1.0,D,0.0,0.0,D,22.0,4.0,7.0,2.0,15.0,13.0,7.0,5.0,0.0,4.0,0.0,0.0,0,0,0,0,9,10,0,0,0,0
I1,18/08/2024,2024-2025,Verona,Napoli,3.0,0.0,H,0.0,0.0,D,8.0,15.0,5.0,5.0,15.0,13.0,1.0,5.0,4.0,1.0,0.0,0.0,0,0,0,0,12,11,0,0,0,0
I1,18/08/2024,2024-2025,Cagliari,Roma,0.0,0.0,D,0.0,0.0,D,12.0,13.0,2.0,3.0,15.0,7.0,5.0,3.0,2.0,0.0,0.0,0.0,0,0,0,0,12,13,0,0,0,0
I1,18/08/2024,2024-2025,Lazio,Venezia,3.0,1.0,H,2.0,1.0,H,13.0,11.0,6.0,3.0,14.0,11.0,6.0,3.0,1.0,2.0,0.0,0.0,0,0,0,0,14,15,0,0,0,0
I1,19/08/2024,2024-2025,Lecce,Atalanta,0.0,4.0,A,0.0,2.0,A,19.0,10.0,5.0,6.0,10.0,24.0,5.0,3.0,0.0,2.0,0.0,0.0,0,0,0,0,16,15,0,0,0,0
I1,19/08/2024,2024-2025,Juventus,Como,3.0,0.0,H,2.0,0.0,H,12.0,1.0,9.0,1.0,12.0,6.0,3.0,0.0,2.0,4.0,0.0,0.0,0,0,0,0,17,16,0,0,0,0
I1,24/08/2024,2024-2025,Parma,Milan,2.0,1.0,H,1.0,0.0,H,8.0,17.0,5.0,5.0,9.0,13.0,3.0,9.0,0.0,3.0,0.0,0.0,1,1,0,0,11,7,1,1,2,2
I1,24/08/2024,2024-2025,Udinese,Lazio,2.0,1.0,H,1.0,0.0,H,8.0,17.0,3.0,5.0,15.0,10.0,4.0,13.0,0.0,0.0,1.0,0.0,1,3,0,2,11,5,1,1,3,1
I1,24/08/2024,2024-2025,Inter,Lecce,2.0,0.0,H,1.0,0.0,H,11.0,10.0,3.0,4.0,9.0,12.0,10.0,6.0,0.0,2.0,0.0,0.0,1,0,0,-4,8,20,2,2,0,4
I1,24/08/2024,2024-2025,Monza,Genoa,0.0,1.0,A,0.0,1.0,A,9.0,11.0,2.0,1.0,6.0,17.0,8.0,3.0,2.0,3.0,0.0,0.0,1,1,0,0,14,8,0,0,2,2
I1,25/08/2024,2024-2025,Fiorentina,Venezia,0.0,0.0,D,0.0,0.0,D,12.0,7.0,8.0,4.0,13.0,19.0,7.0,3.0,1.0,2.0,0.0,0.0,1,0,0,-2,11,17,1,1,1,3
I1,25/08/2024,2024-2025,Torino,Atalanta,2.0,1.0,H,1.0,1.0,D,13.0,24.0,6.0,8.0,8.0,13.0,4.0,6.0,3.0,4.0,0.0,0.0,1,3,0,4,10,5,2,2,4,0
I1,25/08/2024,2024-2025,Napoli,Bologna,3.0,0.0,H,1.0,0.0,H,16.0,9.0,5.0,2.0,11.0,17.0,7.0,5.0,2.0,2.0,0.0,0.0,0,1,-3,0,19,11,0,3,1,1
I1,25/08/2024,2024-2025,Roma,Empoli,1.0,2.0,A,0.0,1.0,A,17.0,10.0,6.0,3.0,10.0,9.0,8.0,5.0,0.0,3.0,0.0,0.0,1,1,0,0,14,13,0,0,0,0
I1,26/08/2024,2024-2025,Cagliari,Como,1.0,1.0,D,1.0,0.0,H,11.0,13.0,5.0,4.0,12.0,10.0,5.0,6.0,2.0,2.0,0.0,0.0,1,0,0,-3,13,19,0,0,0,3
I1,26/08/2024,2024-2025,Verona,Juventus,0.0,3.0,A,0.0,2.0,A,7.0,7.0,1.0,5.0,8.0,8.0,4.0,1.0,2.0,0.0,0.0,0.0,3,3,3,3,9,8,3,0,3,0
I1,30/08/2024,2024-2025,Venezia,Torino,0.0,1.0,A,0.0,0.0,D,13.0,12.0,4.0,6.0,7.0,15.0,3.0,3.0,2.0,4.0,0.0,0.0,1,4,-2,1,17,3,1,3,4,3
I1,30/08/2024,2024-2025,Inter,Atalanta,4.0,0.0,H,2.0,0.0,H,13.0,11.0,5.0,1.0,6.0,15.0,3.0,4.0,0.0,2.0,0.0,0.0,4,3,2,3,3,8,4,2,5,2
I1,31/08/2024,2024-2025,Bologna,Empoli,1.0,1.0,D,1.0,1.0,D,14.0,4.0,3.0,2.0,15.0,18.0,6.0,3.0,0.0,3.0,0.0,0.0,1,4,-3,1,17,7,1,4,2,1
I1,31/08/2024,2024-2025,Lecce,Cagliari,1.0,0.0,H,1.0,0.0,H,17.0,21.0,4.0,2.0,10.0,13.0,7.0,10.0,1.0,3.0,1.0,0.0,0,2,-6,0,20,12,0,6,1,1
I1,31/08/2024,2024-2025,Lazio,Milan,2.0,2.0,D,0.0,1.0,A,7.0,10.0,5.0,4.0,12.0,9.0,5.0,7.0,4.0,2.0,0.0,0.0,3,1,1,-1,8,16,4,3,3,4
I1,31/08/2024,2024-2025,Napoli,Parma,2.0,1.0,H,0.0,1.0,A,29.0,13.0,7.0,2.0,12.0,6.0,6.0,4.0,2.0,4.0,0.0,1.0,3,4,0,1,9,7,3,3,3,2
I1,01/09/2024,2024-2025,Fiorentina,Monza,2.0,2.0,D,1.0,2.0,A,15.0,4.0,5.0,3.0,11.0,21.0,6.0,0.0,2.0,4.0,0.0,0.0,2,1,0,-1,13,18,1,1,0,1
